product_id,product_name,category,price
P000001,Cotton Keyboard - 000001,Garden,328000
P000002,Mouse - 000002,Jewelery,115000
P000003,Licensed Cheese - 000003,Books,45000
P000004,Practical Soft Ball - 000004,Outdoors,48000
P000005,Frozen Fish - 000005,Jewelery,14000
P000006,Refined Fresh Gloves - 000006,Tools,215000
P000007,Chair - 000007,Health,415000
P000008,Fantastic Mouse - 000008,Games,143000
P000009,Granite Hat - 000009,Beauty,48000
P000010,Ergonomic Pants - 000010,Jewelery,310000
P000011,Hat - 000011,Grocery,64000
P000012,Granite Pizza - 000012,Sports,425000
P000013,Sausages - 000013,Industrial,99000
P000014,Rustic Plastic Shirt - 000014,Games,117000
P000015,Frozen Pants - 000015,Beauty,195000
P000016,Handcrafted Shoes - 000016,Industrial,84000
P000017,Wooden Sausages - 000017,Outdoors,137000
P000018,New Plastic Bike - 000018,Computers,326000
P000019,Hat - 000019,Jewelery,237000
P000020,Generic Salad - 000020,Garden,113000
P000021,Generic Car - 000021,Tools,421000
P000022,Gently Used Ball - 000022,Home,34000
P000023,Handmade Frozen Tuna - 000023,Baby,336000
P000024,Gorgeous Plastic Pants - 000024,Jewelery,74000
P000025,Rubber Pants - 000025,Sports,276000
P000026,Practical Shoes - 000026,Shoes,205000
P000027,Ergonomic Wooden Computer - 000027,Electronics,253000
P000028,Licensed Bike - 000028,Music,322000
P000029,Used Metal Hat - 000029,Shoes,198000
P000030,Small Frozen Fish - 000030,Games,129000
P000031,Frozen Fish - 000031,Health,350000
P000032,Concrete Shirt - 000032,Baby,58000
P000033,Chips - 000033,Computers,2000
P000034,For repair Cotton Keyboard - 000034,Automotive,260000
P000035,Fantastic Bacon - 000035,Beauty,260000
P000036,New Soft Bike - 000036,Books,391000
P000037,Table - 000037,Games,307000
P000038,Awesome Plastic Shoes - 000038,Movies,476000
P000039,Rustic Wooden Cheese - 000039,Clothing,124000
P000040,Concrete Computer - 000040,Electronics,418000
P000041,New Tuna - 000041,Tools,338000
P000042,Bacon - 000042,Jewelery,271000
P000043,Cotton Chips - 000043,Toys,387000
P000044,Pizza - 000044,Shoes,344000
P000045,Practical Plastic Keyboard - 000045,Music,232000
P000046,Soft Chair - 000046,Garden,174000
P000047,Small Gloves - 000047,Automotive,302000
P000048,Rustic Steel Gloves - 000048,Health,31000
P000049,Chicken - 000049,Industrial,37000
P000050,New Concrete Ball - 000050,Sports,249000
P000051,Practical Tuna - 000051,Kids,296000
P000052,Frozen Keyboard - 000052,Kids,98000
P000053,Licensed Metal Towels - 000053,Movies,182000
P000054,For repair Pizza - 000054,Movies,345000
P000055,Generic Wooden Chips - 000055,Garden,207000
P000056,New Metal Ball - 000056,Electronics,99000
P000057,Sleek Metal Bike - 000057,Garden,217000
P000058,Refined Computer - 000058,Games,448000
P000059,New Steel Pizza - 000059,Music,26000
P000060,Gloves - 000060,Clothing,475000
P000061,Handmade Steel Ball - 000061,Computers,247000
P000062,Handmade Cotton Chair - 000062,Baby,195000
P000063,Towels - 000063,Clothing,147000
P000064,Awesome Plastic Ball - 000064,Movies,80000
P000065,Steel Chips - 000065,Health,297000
P000066,Gently Used Car - 000066,Shoes,30000
P000067,Chicken - 000067,Shoes,471000
P000068,Rustic Fresh Bike - 000068,Music,42000
P000069,Handmade Wooden Gloves - 000069,Sports,346000
P000070,Used Steel Cheese - 000070,Outdoors,127000
P000071,Gently Used Fresh Towels - 000071,Shoes,42000
P000072,Frozen Pants - 000072,Health,162000
P000073,Handmade Pants - 000073,Industrial,123000
P000074,Shirt - 000074,Music,331000
P000075,Used Soap - 000075,Games,5000
P000076,Soft Fish - 000076,Tools,38000
P000077,Rustic Shoes - 000077,Beauty,68000
P000078,Refined Soft Bike - 000078,Grocery,146000
P000079,Tasty Pizza - 000079,Industrial,314000
P000080,Frozen Fish - 000080,Games,419000
P000081,Sleek Wooden Mouse - 000081,Games,481000
