transaction_item_id,transaction_id,product_id,quantity,price
TI0000001,T000001,P000026,3,205000
TI0000002,T000002,P000229,1,283000
TI0000003,T000002,P000143,5,224000
TI0000004,T000003,P000605,4,371000
TI0000005,T000004,P000031,1,350000
TI0000006,T000005,P000239,5,391000
TI0000007,T000005,P000518,1,354000
TI0000008,T000006,P000204,4,37000
TI0000009,T000006,P000734,2,324000
TI0000010,T000006,P000666,4,138000
TI0000011,T000006,P000719,5,148000
TI0000012,T000006,P000559,3,470000
TI0000013,T000007,P000778,2,58000
TI0000014,T000008,P000349,3,67000
TI0000015,T000008,P000285,1,332000
TI0000016,T000008,P000160,1,304000
TI0000017,T000008,P000221,4,233000
TI0000018,T000009,P000368,3,408000
TI0000019,T000010,P000271,5,463000
TI0000020,T000010,P000827,1,70000
TI0000021,T000010,P000045,4,232000
TI0000022,T000010,P000748,1,204000
TI0000023,T000010,P000471,5,486000
TI0000024,T000011,P000850,3,103000
TI0000025,T000011,P000644,5,337000
TI0000026,T000011,P000634,2,99000
TI0000027,T000012,P000047,2,302000
TI0000028,T000013,P000082,1,381000
TI0000029,T000013,P000876,4,17000
TI0000030,T000013,P000239,3,391000
TI0000031,T000014,P000651,3,489000
TI0000032,T000014,P000855,3,459000
TI0000033,T000014,P000374,2,310000
TI0000034,T000014,P000167,3,316000
TI0000035,T000015,P000624,2,329000
TI0000036,T000016,P000747,3,341000
TI0000037,T000016,P000251,5,351000
TI0000038,T000016,P000168,2,423000
TI0000039,T000016,P000474,3,258000
TI0000040,T000016,P000389,1,159000
TI0000041,T000017,P000842,3,464000
TI0000042,T000017,P000033,4,2000
TI0000043,T000018,P000068,5,42000
TI0000044,T000018,P000217,3,326000
TI0000045,T000018,P000936,2,89000
TI0000046,T000019,P000406,4,213000
TI0000047,T000019,P000906,2,44000
TI0000048,T000019,P000937,3,17000
TI0000049,T000019,P000659,2,53000
TI0000050,T000020,P000763,5,245000
TI0000051,T000020,P000575,3,479000
TI0000052,T000021,P000439,2,157000
TI0000053,T000021,P000920,2,76000
TI0000054,T000021,P000598,5,357000
TI0000055,T000021,P000409,4,406000
TI0000056,T000021,P000371,1,331000
TI0000057,T000022,P000882,1,132000
TI0000058,T000023,P000643,4,24000
TI0000059,T000023,P000164,5,175000
TI0000060,T000024,P000395,4,23000
TI0000061,T000025,P000480,1,329000
TI0000062,T000025,P000542,1,452000
TI0000063,T000025,P000258,5,124000
TI0000064,T000025,P000995,3,25000
TI0000065,T000025,P000567,3,438000
TI0000066,T000026,P000301,4,440000
TI0000067,T000027,P000465,3,498000
TI0000068,T000027,P000004,5,48000
TI0000069,T000028,P000520,1,107000
TI0000070,T000028,P000935,3,207000
TI0000071,T000029,P000624,2,329000
TI0000072,T000029,P000204,5,37000
TI0000073,T000029,P000157,5,311000
TI0000074,T000029,P000383,1,42000
TI0000075,T000029,P000781,5,280000
TI0000076,T000030,P000501,3,500000
TI0000077,T000030,P000020,3,113000
TI0000078,T000030,P000115,2,155000
TI0000079,T000031,P000247,5,401000
TI0000080,T000032,P000088,4,380000
TI0000081,T000033,P000779,5,37000
TI0000082,T000034,P000132,4,385000
TI0000083,T000034,P000676,5,252000
TI0000084,T000035,P000272,5,404000
TI0000085,T000035,P000541,4,274000
TI0000086,T000036,P000952,2,4000
TI0000087,T000036,P000553,3,480000
TI0000088,T000037,P000688,5,23000
TI0000089,T000037,P000666,4,138000
TI0000090,T000037,P000383,1,42000
TI0000091,T000037,P000449,2,391000
TI0000092,T000038,P000066,1,30000
TI0000093,T000038,P000347,5,393000
TI0000094,T000039,P000236,1,421000
TI0000095,T000039,P000603,2,131000
TI0000096,T000039,P000226,1,282000
TI0000097,T000039,P000008,1,143000
TI0000098,T000039,P000073,3,123000
TI0000099,T000040,P000527,2,179000
TI0000100,T000041,P000686,5,469000
TI0000101,T000041,P000498,2,288000
TI0000102,T000041,P000220,5,148000
TI0000103,T000042,P000485,2,67000
TI0000104,T000042,P000249,1,195000
TI0000105,T000042,P000804,1,187000
TI0000106,T000042,P000827,4,70000
TI0000107,T000042,P000417,3,324000
TI0000108,T000043,P000421,1,489000
TI0000109,T000043,P000479,1,16000
TI0000110,T000043,P000885,1,52000
TI0000111,T000043,P000747,4,341000
TI0000112,T000044,P000820,2,23000
TI0000113,T000044,P000883,2,225000
TI0000114,T000044,P000112,2,342000
TI0000115,T000045,P000460,4,103000
TI0000116,T000045,P000144,2,343000
TI0000117,T000045,P000433,1,140000
TI0000118,T000045,P000188,4,499000
TI0000119,T000045,P000286,5,333000
TI0000120,T000046,P000052,5,98000
TI0000121,T000047,P000993,1,131000
TI0000122,T000048,P000171,4,195000
TI0000123,T000048,P000417,4,324000
TI0000124,T000049,P000886,1,116000
TI0000125,T000049,P000411,2,316000
TI0000126,T000050,P000003,4,45000
TI0000127,T000050,P000400,3,271000
TI0000128,T000050,P000272,4,404000
TI0000129,T000050,P000949,5,217000
TI0000130,T000051,P000159,1,347000
TI0000131,T000051,P000195,5,61000
TI0000132,T000051,P000304,5,166000
TI0000133,T000051,P000223,1,446000
TI0000134,T000052,P000059,4,26000
TI0000135,T000052,P000052,5,98000
TI0000136,T000052,P000599,5,193000
TI0000137,T000053,P000059,5,26000
