transaction_id,customer_id,transaction_date,total_amount
T000001,C000655,2023-08-17,615000
T000002,C000026,2024-07-17,1403000
T000003,C000251,2024-04-02,1484000
T000004,C000143,2023-07-29,350000
T000005,C000693,2023-06-28,2309000
T000006,C000605,2025-05-14,3498000
T000007,C000033,2023-03-03,116000
T000008,C000096,2024-03-23,1769000
T000009,C000239,2025-10-31,1224000
T000010,C000617,2023-02-24,5947000
T000011,C000575,2024-02-12,2192000
T000012,C000734,2025-05-09,604000
T000013,C000226,2025-07-08,1622000
T000014,C000604,2024-07-23,4412000
T000015,C000829,2023-01-14,658000
T000016,C000778,2023-11-23,4557000
T000017,C000715,2025-05-15,1400000
T000018,C000349,2024-07-23,1366000
T000019,C000160,2024-03-16,1097000
T000020,C000981,2024-11-20,2662000
T000021,C000105,2023-07-09,4206000
T000022,C000390,2023-07-18,132000
T000023,C000368,2024-12-05,971000
T000024,C000619,2024-06-25,92000
T000025,C000827,2023-03-30,2790000
T000026,C000748,2025-07-29,1760000
T000027,C000550,2023-09-13,1734000
T000028,C000997,2025-02-14,728000
T000029,C000081,2024-08-23,3840000
T000030,C000850,2025-01-10,2149000
T000031,C000592,2024-01-29,2005000
T000032,C000722,2023-05-23,1520000
T000033,C000047,2024-04-11,185000
T000034,C000792,2024-08-15,2800000
T000035,C000082,2024-04-21,3116000
T000036,C000888,2023-07-26,1448000
T000037,C000390,2024-07-23,1491000
T000038,C000465,2025-01-17,1995000
T000039,C000167,2025-01-28,1477000
T000040,C000364,2024-03-05,358000
T000041,C000687,2024-06-30,3661000
T000042,C000719,2023-05-27,1768000
T000043,C000624,2023-12-17,1921000
T000044,C000547,2024-05-16,1180000
T000045,C000168,2025-08-04,4899000
T000046,C000389,2024-07-06,490000
T000047,C000948,2024-03-25,131000
T000048,C000702,2024-10-26,2076000
T000049,C000864,2023-04-25,748000
T000050,C000235,2023-03-07,3694000
T000051,C000825,2024-10-08,1928000
T000052,C000411,2024-07-02,1559000
T000053,C000068,2024-03-08,246000
T000054,C000936,2024-10-06,756000
T000055,C000218,2025-10-19,3574000
T000056,C000406,2025-07-28,4802000
T000057,C000147,2024-06-26,1447000
T000058,C000143,2024-05-20,3212000
T000059,C000763,2024-06-22,3035000
T000060,C000765,2025-05-27,3243000
T000061,C000920,2025-03-28,1018000
T000062,C000371,2024-03-25,5681000
T000063,C000142,2025-11-09,451000
T000064,C000506,2023-07-06,918000
T000065,C000774,2023-04-07,1282000
T000066,C000882,2023-08-13,4609000
T000067,C000157,2023-11-24,1925000
T000068,C000812,2025-05-14,1984000
T000069,C000611,2023-05-11,2322000
T000070,C000395,2025-02-20,1137000
T000071,C000611,2025-08-16,2255000
T000072,C000542,2024-05-29,2663000
T000073,C000995,2023-01-24,1433000
T000074,C000697,2023-08-23,1433000
T000075,C000699,2024-06-30,3267000
T000076,C000788,2024-11-27,1014000
T000077,C000115,2024-08-24,1439000
T000078,C000446,2023-11-20,1132000
T000079,C000465,2023-01-07,2429000
T000080,C000977,2024-06-23,115000
T000081,C000996,2025-10-22,1294000
T000082,C000781,2024-01-01,1616000
T000083,C000520,2023-08-06,3192000
T000084,C000892,2024-09-03,1400000
T000085,C000862,2025-11-05,3113000
T000086,C000624,2024-02-12,3715000
T000087,C000157,2025-02-04,255000
T000088,C000781,2023-11-27,3700000
T000089,C000553,2025-12-22,62000
T000090,C000941,2023-01-02,2589000
T000091,C000614,2024-10-25,916000
T000092,C000501,2023-02-09,3258000
T000093,C000115,2025-01-13,60000
T000094,C000900,2024-09-21,788000
T000095,C000246,2023-04-29,4925000
T000096,C000247,2023-06-11,5546000
T000097,C000088,2025-09-22,960000
T000098,C000836,2023-05-22,919000
T000099,C000779,2025-12-26,509000
T000100,C000785,2023-09-15,730000
T000101,C000132,2025-08-31,1288000
T000102,C000970,2023-12-05,643000
T000103,C000272,2025-12-16,4853000
T000104,C000894,2025-05-16,1383000
T000105,C000988,2024-03-09,4121000
T000106,C000952,2024-02-16,3001000
T000107,C000731,2024-09-30,1308000
T000108,C000409,2025-02-03,3957000
T000109,C000449,2025-11-25,1589000
T000110,C000463,2023-09-05,1541000
T000111,C000254,2024-04-05,3116000
T000112,C000066,2024-11-23,1616000
T000113,C000022,2024-04-16,892000
T000114,C000603,2024-03-27,1452000
T000115,C000008,2023-05-26,753000
T000116,C000725,2023-05-01,360000
T000117,C000235,2023-05-19,669000
T000118,C000928,2023-03-06,4277000
T000119,C000881,2024-11-07,2591000
T000120,C000073,2025-11-18,4326000
T000121,C000244,2024-07-24,1416000
T000122,C000686,2025-09-21,692000
T000123,C000220,2023-09-28,3998000
T000124,C000741,2025-08-26,4549000
T000125,C000249,2025-08-26,879000
T000126,C000827,2025-04-13,4515000
T000127,C000195,2023-07-13,2322000
T000128,C000100,2025-06-01,2843000
T000129,C000363,2025-05-17,5329000
T000130,C000421,2025-08-14,2035000
T000131,C000885,2023-04-21,4852000
T000132,C000690,2023-07-21,3374000
T000133,C000063,2025-04-04,2003000
T000134,C000746,2024-11-25,1330000
T000135,C000820,2023-08-12,1104000
T000136,C000255,2024-01-28,3724000
T000137,C000195,2025-07-07,750000
T000138,C000144,2025-05-14,1314000
T000139,C000188,2024-07-24,1701000
T000140,C000474,2024-05-26,54000
T000141,C000896,2023-06-04,1649000
T000142,C000454,2023-07-20,1264000
T000143,C000052,2023-01-31,258000
T000144,C000993,2023-07-11,2243000
T000145,C000949,2024-04-29,221000
T000146,C000171,2025-04-12,6142000
T000147,C000498,2025-09-12,1884000
T000148,C000219,2025-04-01,2779000
T000149,C000925,2023-05-01,796000
T000150,C000169,2025-02-15,496000
T000151,C000003,2025-03-10,1624000
T000152,C000272,2025-07-20,3548000
T000153,C000293,2025-05-16,1247000
T000154,C000714,2025-09-23,4226000
T000155,C000159,2024-01-24,1788000
T000156,C000304,2024-03-21,1172000
T000157,C000992,2023-04-30,1639000
T000158,C000594,2023-05-05,3213000
T000159,C000766,2024-10-04,4462000
T000160,C000059,2023-04-13,727000
T000161,C000599,2025-09-03,3159000
T000162,C000515,2025-12-23,855000
T000163,C000162,2023-04-27,1789000
T000164,C000984,2025-11-06,3605000
T000165,C000083,2024-01-16,1939000
T000166,C000071,2023-05-20,2435000
T000167,C000692,2024-04-26,1015000
T000168,C000414,2023-09-03,321000
T000169,C000965,2024-05-19,3049000
T000170,C000593,2023-03-23,1974000
T000171,C000635,2023-06-17,4957000
T000172,C000430,2025-12-06,1539000
T000173,C000324,2024-06-18,2860000
T000174,C000210,2024-10-05,3597000
T000175,C000245,2024-06-27,2054000
T000176,C000406,2023-09-26,1232000
T000177,C000688,2024-09-06,2923000
T000178,C000469,2024-10-09,3430000
T000179,C000952,2023-05-29,767000
T000180,C000010,2025-07-27,2762000
T000181,C000637,2023-07-24,3519000
